trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",30,0,-208.2467714690895,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-11.90162715431528,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-51.50689947234804,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,12.332431574833262,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,0,-67.71332562790982,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-102.38372974215086,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",20,10,-61.28750587055217,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",35,0,-84.52744350872241,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.002, 'e': 0.835270211411272}",20,0,-115.5066369520889,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",30,7,-16.78309758356934,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-148.05411335414826,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,0,-130.47236670172742,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",30,17,-41.09827988224411,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",35,0,-129.14822705959884,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-107.33892863183938,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",20,3,-4.21239327932519,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",25,0,-243.49850598607455,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",35,0,-130.97217027171266,"{0: 25, 1: 3, 2: 3, 3: 2, 4: 2}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",25,0,-80.00080634196516,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",30,8,-168.7759673982199,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 2}",1
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,0,-33.80117887221479,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,0,-29.783028419568204,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",30,12,-71.95584659755102,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,14,-11.785400250621782,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",25,0,-65.93219441553232,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",25,15,5.661416999350536,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",30,0,-134.141187736062,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,6,-136.05540475463314,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 2}",1
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,0,-65.90845410024765,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",25,3,-25.14982932672802,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",25,3,-126.6164679423852,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 2}",1
